"","stratum","stdtest","sampledtest"
"877",1,2,NA
"878",2,1,2
"879",3,2,2
"880",4,3,2
"881",5,2,2
"882",6,2,NA
"883",1,2,2
"884",2,3,NA
"885",3,2,2
"886",4,3,2
"887",5,2,NA
"888",6,3,3
"889",1,4,4
"890",2,4,4
"891",3,4,NA
"892",4,4,NA
"893",5,4,2
"894",6,4,4
"895",1,3,3
"896",2,4,4
"897",3,3,NA
"898",4,3,NA
"899",5,3,2
"900",6,3,3
"901",1,1,1
"902",2,2,NA
"903",3,1,1
"904",4,2,3
"905",5,2,NA
"906",6,2,2
"907",1,2,NA
"908",2,2,2
"909",3,2,2
"910",4,3,3
"911",5,2,2
"912",6,3,NA
"913",1,1,1
"914",2,2,2
"915",3,1,1
"916",4,2,2
"917",5,2,NA
"918",6,2,2
"919",1,2,NA
"920",2,1,2
"921",3,2,2
"922",4,3,NA
"923",5,2,2
"924",6,3,3
"925",1,1,1
"926",2,1,NA
"927",3,2,NA
"928",4,3,3
"929",5,2,2
"930",6,3,3
"931",1,2,1
"932",2,1,NA
"933",3,2,NA
"934",4,2,2
"935",5,2,2
"936",6,3,3
"937",1,2,NA
"938",2,1,2
"939",3,2,2
"940",4,3,NA
"941",5,2,2
"942",6,3,NA
"943",1,1,1
"944",2,2,3
"945",3,1,2
"946",4,2,2
"947",5,1,NA
"948",6,2,2
"949",1,2,2
"950",2,3,3
"951",3,2,2
"952",4,2,NA
"953",5,1,1
"954",6,3,NA
"955",1,1,1
"956",2,2,1
"957",3,1,NA
"958",4,2,2
"959",5,2,2
"960",6,2,2
"961",1,1,NA
"962",2,2,NA
"963",3,1,2
"964",4,2,2
"965",5,2,2
"966",6,2,2
"967",1,1,NA
"968",2,2,NA
"969",3,1,1
"970",4,2,2
"971",5,1,1
"972",6,2,NA
"973",1,4,4
"974",2,4,4
"975",3,4,NA
"976",4,4,4
"977",5,4,NA
"978",6,4,4
"979",1,2,2
"980",2,3,3
"981",3,2,2
"982",4,3,NA
"983",5,2,1
"984",6,3,2
"985",1,3,3
"986",2,4,4
"987",3,3,NA
"988",4,3,3
"989",5,3,NA
"990",6,3,3
"991",1,3,3
"992",2,3,NA
"993",3,3,3
"994",4,3,3
"995",5,2,2
"996",6,4,NA
"997",1,2,NA
"998",2,3,3
"999",3,2,2
"1000",4,3,2
"1001",5,2,2
"1002",6,3,NA
"1003",1,4,NA
"1004",2,4,4
"1005",3,4,4
"1006",4,4,4
"1007",5,4,NA
"1008",6,4,3
"1009",1,1,2
"1010",2,3,NA
"1011",3,1,1
"1012",4,2,NA
"1013",5,2,2
"1014",6,2,2
"1015",1,2,2
"1016",2,1,1
"1017",3,2,NA
"1018",4,2,3
"1019",5,2,2
"1020",6,1,2
"1021",1,1,1
"1022",2,2,NA
"1023",3,1,1
"1024",4,2,NA
"1025",5,2,2
"1026",6,2,2
"1027",1,4,NA
"1028",2,4,4
"1029",3,4,4
"1030",4,3,3
"1031",5,3,NA
"1032",6,4,NA
"1033",1,2,2
"1034",2,2,2
"1035",3,2,2
"1036",4,2,2
"1037",5,2,NA
"1038",6,3,NA
"1039",1,2,2
"1040",2,1,2
"1041",3,2,2
"1042",4,2,NA
"1043",5,2,2
"1044",6,3,3
"1045",1,4,NA
"1046",2,4,4
"1047",3,4,NA
"1048",4,4,4
"1049",5,4,4
"1050",6,4,4
"1051",1,2,2
"1052",2,1,NA
"1053",3,2,2
"1054",4,2,2
"1055",5,2,1
"1056",6,3,2
"1057",1,3,NA
"1058",2,4,4
"1059",3,3,NA
"1060",4,3,3
"1061",5,3,3
"1062",6,3,NA
"1063",1,2,2
"1064",2,1,2
"1065",3,2,2
"1066",4,3,NA
"1067",5,2,NA
"1068",6,3,2
"1069",1,2,2
"1070",2,3,1
"1071",3,2,2
"1072",4,3,NA
"1073",5,2,NA
"1074",6,2,3
"1075",1,3,3
"1076",2,2,2
"1077",3,3,NA
"1078",4,3,3
"1079",5,3,3
"1080",6,3,NA
"1081",1,3,3
"1082",2,3,NA
"1083",3,3,3
"1084",4,3,3
"1085",5,3,3
"1086",6,3,3
"1087",1,3,NA
"1088",2,3,3
"1089",3,3,3
"1090",4,3,3
"1091",5,3,3
"1092",6,3,NA
"1093",1,3,3
"1094",2,3,NA
"1095",3,3,3
"1096",4,3,3
"1097",5,3,NA
"1098",6,3,4
"1099",1,4,4
"1100",2,4,4
"1101",3,4,NA
"1102",4,4,NA
"1103",5,4,4
"1104",6,4,4
"1105",1,3,3
"1106",2,3,2
"1107",3,3,NA
"1108",4,4,NA
"1109",5,3,3
"1110",6,3,3
"1111",1,1,1
"1112",2,1,NA
"1113",3,1,1
"1114",4,1,1
"1115",5,1,NA
"1116",6,2,2
"1117",1,3,NA
"1118",2,2,2
"1119",3,3,3
"1120",4,3,3
"1121",5,3,3
"1122",6,3,NA
"1123",1,3,3
"1124",2,2,2
"1125",3,3,3
"1126",4,3,3
"1127",5,3,NA
"1128",6,3,3
"1129",1,4,NA
"1130",2,4,4
"1131",3,4,4
"1132",4,4,NA
"1133",5,4,4
"1134",6,4,4
"1135",1,4,4
"1136",2,3,NA
"1137",3,4,NA
"1138",4,4,4
"1139",5,4,4
"1140",6,4,3
"1141",1,4,4
"1142",2,4,NA
"1143",3,4,NA
