"","respdeath","personyrs","agegr","period","starting","arsenic"
"1",2,3075.3,1,1,2,1
"2",0,485.8,1,1,2,2
"3",0,478.2,1,1,2,3
"4",0,337.3,1,1,2,4
"5",2,3981.6,1,1,1,1
"6",1,656.1,1,1,1,2
"7",0,190.3,1,1,1,3
"8",0,12.5,1,1,1,4
"9",0,936.8,1,2,2,1
"10",1,194.6,1,2,2,2
"11",1,164.9,1,2,2,3
"12",0,121,1,2,2,4
"13",2,10740.7,1,2,1,1
"14",1,1696.8,1,2,1,2
"15",0,870.5,1,2,1,3
"16",0,224,1,2,1,4
"17",7,12451.3,1,3,1,1
"18",0,2512,1,3,1,2
"19",0,868.3,1,3,1,3
"20",0,291.8,1,3,1,4
"21",1,7151,1,4,1,1
"22",3,1341.6,1,4,1,2
"23",0,419.8,1,4,1,3
"24",0,160.6,1,4,1,4
"25",2,2849.8,2,1,2,1
"26",0,390.5,2,1,2,2
"27",1,333,2,1,2,3
"28",4,626.7,2,1,2,4
"29",4,1912.9,2,1,1,1
"30",0,202.7,2,1,1,2
"31",0,90.5,2,1,1,3
"32",0,15,2,1,1,4
"33",3,2195.6,2,2,2,1
"34",2,346.2,2,2,2,2
"35",1,287.8,2,2,2,3
"36",3,349.5,2,2,2,4
"37",5,5624.5,2,2,1,1
"38",7,933.5,2,2,1,2
"39",1,410.9,2,2,1,3
"40",2,75.4,2,2,1,4
"41",3,747.8,2,3,2,1
"42",0,142.1,2,3,2,2
"43",1,127.5,2,3,2,3
"44",1,142.3,2,3,2,4
"45",13,9194,2,3,1,1
"46",5,1919.4,2,3,1,2
"47",2,902.4,2,3,1,3
"48",3,487.2,2,3,1,4
"49",8,8494.5,2,4,1,1
"50",6,1896.4,2,4,1,2
"51",3,688,2,4,1,3
"52",0,425.1,2,4,1,4
"53",2,2085.4,3,1,2,1
"54",1,194.5,3,1,2,2
"55",1,291.8,3,1,2,3
"56",9,672.1,3,1,2,4
"57",1,657.7,3,1,1,1
"58",0,70.7,3,1,1,2
"59",0,33.4,3,1,1,3
"60",7,1675.9,3,2,2,1
"61",2,225.4,3,2,2,2
"62",1,209.7,3,2,2,3
"63",7,441.1,3,2,2,4
"64",6,1945.9,3,2,1,1
"65",0,203.5,3,2,1,2
"66",1,156.4,3,2,1,3
"67",0,38.1,3,2,1,4
"68",10,1501.7,3,3,2,1
"69",4,234.8,3,3,2,2
"70",3,190.9,3,3,2,3
"71",3,244.8,3,3,2,4
"72",12,4088.7,3,3,1,1
"73",7,712.8,3,3,1,2
"74",3,390.7,3,3,1,3
"75",2,190.8,3,3,1,4
"76",1,440.2,3,4,2,1
"77",3,101.3,3,4,2,2
"78",1,100.8,3,4,2,3
"79",1,100.6,3,4,2,4
"80",19,5100,3,4,1,1
"81",6,1052.8,3,4,1,2
"82",4,621.8,3,4,1,3
"83",0,419.1,3,4,1,4
"84",3,833.6,4,1,2,1
"85",0,110.3,4,1,2,2
"86",0,158.7,4,1,2,3
"87",1,277.2,4,1,2,4
"88",0,114.2,4,1,1,1
"89",0,4.2,4,1,1,2
"90",0,9,4,1,1,3
"91",6,973.3,4,2,2,1
"92",1,54.6,4,2,2,2
"93",1,108.3,4,2,2,3
"94",2,268.3,4,2,2,4
"95",1,358.4,4,2,1,1
"96",0,38.4,4,2,1,2
"97",1,39.2,4,2,1,3
"98",0,10.6,4,2,1,4
"99",6,1027.1,4,3,2,1
"100",2,105.6,4,3,2,2
"101",0,54.7,4,3,2,3
"102",1,197.2,4,3,2,4
"103",5,1097.9,4,3,1,1
"104",0,127.6,4,3,1,2
"105",0,68.5,4,3,1,3
"106",1,45.4,4,3,1,4
"107",6,674.4,4,4,2,1
"108",1,97.1,4,4,2,2
"109",2,94,4,4,2,3
"110",2,92.7,4,4,2,4
"111",14,1763.5,4,4,1,1
"112",2,324.7,4,4,1,2
"113",0,180.2,4,4,1,3
"114",0,114.4,4,4,1,4
